sample_name	sample_name_noQiitaPrepID	sample_name_noQiitaIDs	alpha_16S_rar5k_richness	alpha_16S_rar5k_shannon	alpha_16S_rar5k_faithspd	sample_name_shotgun	alpha_shotgun_rar35k_20k_richness	alpha_shotgun_rar35k_20k_shannon	alpha_shotgun_rar35k_20k_faithspd	bead_beating	biomass_plate	biomass_sample	biomass_sample_long	biomass_sample_3groups	collection_timestamp	description	dna_conc	dna_ng_ul	dna_extracted	shotgun_lib_ng_ul	rna_ng_ul	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	extraction_protocol	extraction_protocol_short	extraction_kit	extraction_kit_id	extraction_vendor	fresh_frozen	gdna_well_id	gdna_well_row	gdna_well_column	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_taxid	host_weight	host_weight_units	incubation	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qc_16s_concentration	qc_230	qc_260	qc_260_230	qc_260_280	qc_280	qc_blank_230	qc_blank_260	qc_blank_280	qc_blank_320	qc_raw_230	qc_raw_260	qc_raw_280	qc_raw_320	qiita_study_id	round	sample_number	sample_technical_replicate	sample_type	sample_type_2	sample_type_3	host_subject_id	unique_sample_id	scientific_name	sex	storage_solution	swab_type	taxon_id	title	read_count_16s	read_count_shotgun
90990.12201.skin.nares.U.qiagen.C	12201.skin.nares.U.qiagen.C	skin.nares.U.qiagen.C	NA	NA	NA	skin_nares_U_qiagen_C	NA	NA	NA	20 min. at 30 Hz	COVID-19	high	High biomass	High biomass	5/13/20	NA	not collected	0.035	TRUE	0.024	0.0492	193	Host-asssociated	Animal-associated	Animal secretion	urban biome	human-associated habitat	mucus	human-associated	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	D2	D	2	USA:CA:San Diego	not collected	not collected	UBERON:skin	not collected	UBERON:sebum	UBERON: external naris	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human nares	human nares U	human.U	skin.nares.U	human skin metagenome	male	95% ethanol	CDC PE	539655	Knight sample set for testing	602	179
90990.12201.skin.nares.V.qiagen.C	12201.skin.nares.V.qiagen.C	skin.nares.V.qiagen.C	73	2.655450046	10.05700831	skin_nares_V_qiagen_C	NA	NA	NA	20 min. at 30 Hz	COVID-19	high	High biomass	High biomass	5/13/20	NA	not collected	24.313	TRUE	18.944	0.2876	193	Host-asssociated	Animal-associated	Animal secretion	urban biome	human-associated habitat	mucus	human-associated	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	F2	F	2	USA:CA:San Diego	not collected	not collected	UBERON:skin	not collected	UBERON:sebum	UBERON: external naris	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human nares	human nares V	human.V	skin.nares.V	human skin metagenome	male	95% ethanol	CDC PE	539655	Knight sample set for testing	11845	5030
90990.12201.skin.nares.eluent.V.qiagen.C	12201.skin.nares.eluent.V.qiagen.C	skin.nares.eluent.V.qiagen.C	56	3.75187962	8.690306385	skin_nares_eluent_V_qiagen_C	NA	NA	NA	20 min. at 30 Hz	COVID-19	high	High biomass	High biomass	5/13/20	NA	not collected	0.107	TRUE	0.619	0.0736	193	Host-asssociated	Animal-associated	Animal secretion	urban biome	human-associated habitat	mucus	human-associated	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	G2	G	2	USA:CA:San Diego	not collected	not collected	UBERON:skin	not collected	UBERON:sebum	UBERON: external naris	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human nares	human nares V	human.V	skin.nares.eluent.V	human skin metagenome	male	95% ethanol	eluent from CDC PE swab	539655	Knight sample set for testing	8715	10843
90990.12201.skin.nares.eluent.W.qiagen.C	12201.skin.nares.eluent.W.qiagen.C	skin.nares.eluent.W.qiagen.C	71	2.040153478	9.814921332	skin_nares_eluent_W_qiagen_C	NA	NA	NA	20 min. at 30 Hz	COVID-19	high	High biomass	High biomass	5/13/20	NA	not collected	0.146	TRUE	1.583	0.1104	193	Host-asssociated	Animal-associated	Animal secretion	urban biome	human-associated habitat	mucus	human-associated	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	A3	A	3	USA:CA:San Diego	not collected	not collected	UBERON:skin	not collected	UBERON:sebum	UBERON: external naris	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human nares	human nares W	human.W	skin.nares.eluent.W	human skin metagenome	female	95% ethanol	eluent from CDC PE swab	539655	Knight sample set for testing	13529	31546
90990.12201.skin.nares.W.qiagen.C	12201.skin.nares.W.qiagen.C	skin.nares.W.qiagen.C	56	1.68027374	9.005125097	skin_nares_W_qiagen_C	NA	NA	NA	20 min. at 30 Hz	COVID-19	high	High biomass	High biomass	5/13/20	NA	not collected	5.051	TRUE	24.614	0.1484	193	Host-asssociated	Animal-associated	Animal secretion	urban biome	human-associated habitat	mucus	human-associated	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	H2	H	2	USA:CA:San Diego	not collected	not collected	UBERON:skin	not collected	UBERON:sebum	UBERON: external naris	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human nares	human nares W	human.W	skin.nares.W	human skin metagenome	female	95% ethanol	CDC PE	539655	Knight sample set for testing	20283	34140
90990.12201.oral.throat.A.1.1.microbiome2.C	12201.oral.throat.A.1.1.microbiome2.C	oral.throat.A.1.1.microbiome2.C	94	3.545519968	11.84502692	oral_throat_A_1_1_microbiome2_C	514	5.410033993	87.43216082	2 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	1.119	TRUE	15.07	1.4216	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	D10	D	10	USA:CA:San Diego	33	years	UBERON:mouth	20.5	UBERON:mouth	UBERON:mouth	human	185	cm	adult	Homo sapiens	9606	70	kg	No incubation	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.A	oral.throat.A.1	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	18493	218251
90990.12201.oral.throat.O.1.microbiome2.C	12201.oral.throat.O.1.microbiome2.C	oral.throat.O.1.microbiome2.C	85	3.354014189	11.42491693	oral_throat_O_1_microbiome2_C	406	4.357171225	74.45958815	2 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	1.115	TRUE	22.746	1.628	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	D11	D	11	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	No incubation	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.O	oral.throat.O.1	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	15933	49859
90990.12201.oral.throat.P.1.microbiome2.C	12201.oral.throat.P.1.microbiome2.C	oral.throat.P.1.microbiome2.C	96	3.28464823	12.16572938	oral_throat_P_1_microbiome2_C	373	4.608508855	68.37209368	2 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	1.085	TRUE	31.437	1.0794	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	F11	F	11	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	No incubation	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.P	oral.throat.P.1	human oral metagenome	female	95% ethanol	CDC PE	447426	Knight sample set for testing	20951	257704
90990.12201.oral.throat.A.2.1.microbiome2.C	12201.oral.throat.A.2.1.microbiome2.C	oral.throat.A.2.1.microbiome2.C	128	3.942058226	13.56564632	oral_throat_A_2_1_microbiome2_C	483	5.483844584	84.62217926	2 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	1.217	TRUE	17.64	1.351	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	E10	E	10	USA:CA:San Diego	33	years	UBERON:mouth	20.5	UBERON:mouth	UBERON:mouth	human	185	cm	adult	Homo sapiens	9606	70	kg	No incubation	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.A	oral.throat.A.2	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	20809	470278
90990.12201.oral.throat.R.1.microbiome2.C	12201.oral.throat.R.1.microbiome2.C	oral.throat.R.1.microbiome2.C	106	4.213906616	16.43272601	oral_throat_R_1_microbiome2_C	NA	NA	NA	2 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	0.056	TRUE	2.295	0.1966	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	B12	B	12	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	No incubation	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.R	oral.throat.R.1	human oral metagenome	female	95% ethanol	CDC PE	447426	Knight sample set for testing	13407	22626
90990.12201.skin.throat.fresh.A.1.1.microbiome2.C	12201.skin.throat.fresh.A.1.1.microbiome2.C	skin.throat.fresh.A.1.1.microbiome2.C	142	3.926216777	14.41239376	skin_throat_fresh_A_1_1_microbiome2_C	470	5.495835973	82.00773907	2 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/14/20	NA	not collected	1.015	TRUE	22.152	0.776	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	fresh	E12	E	12	USA:CA:San Diego	33	years	UBERON:mouth	20.5	UBERON:mouth	UBERON:mouth	human	185	cm	adult	Homo sapiens	9606	70	kg	No incubation	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.A	skin.throat.fresh.A.1	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	21352	255031
90990.12201.oral.throat.Q.2.1.microbiome2.C	12201.oral.throat.Q.2.1.microbiome2.C	oral.throat.Q.2.1.microbiome2.C	69	3.388239225	9.418611049	oral_throat_Q_2_1_microbiome2_C	424	4.470430849	78.34399837	2 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	1.305	TRUE	18.958	1.0434	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	C11	C	11	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	No incubation	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.Q	oral.throat.Q.2	human oral metagenome	female	95% ethanol	CDC PE	447426	Knight sample set for testing	20799	788883
90990.12201.oral.throat.Q.1.1.microbiome2.C	12201.oral.throat.Q.1.1.microbiome2.C	oral.throat.Q.1.1.microbiome2.C	60	2.713225811	8.008443166	oral_throat_Q_1_1_microbiome2_C	395	4.004824879	72.92949817	2 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	0.458	TRUE	21.575	1.059	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	B11	B	11	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	No incubation	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.Q	oral.throat.Q.1	human oral metagenome	female	95% ethanol	CDC PE	447426	Knight sample set for testing	21912	336420
90990.12201.skin.throat.fresh.A.2.microbiome20.C	12201.skin.throat.fresh.A.2.microbiome20.C	skin.throat.fresh.A.2.microbiome20.C	78	2.499078837	8.602830391	skin_throat_fresh_A_2_microbiome20_C	481	5.402301379	81.83914573	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/14/20	NA	not collected	2.35	TRUE	14.116	3.0168	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	fresh	E12	E	12	USA:CA:San Diego	33	years	UBERON:mouth	20.5	UBERON:mouth	UBERON:mouth	human	185	cm	adult	Homo sapiens	9606	70	kg	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.A	skin.throat.fresh.A.2	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	24245	283601
90990.12201.oral.throat.W.microbiome20.C	12201.oral.throat.W.microbiome20.C	oral.throat.W.microbiome20.C	104	3.808203797	13.04115331	oral_throat_W_microbiome20_C	379	4.700376768	62.50814928	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	1.624	TRUE	20.311	4.49	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	B12	B	12	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.W	oral.throat.W	human oral metagenome	female	95% ethanol	CDC PE	447426	Knight sample set for testing	22377	110983
90990.12201.oral.throat.A.3.1.microbiome20.C	12201.oral.throat.A.3.1.microbiome20.C	oral.throat.A.3.1.microbiome20.C	74	2.300566831	10.08879857	oral_throat_A_3_1_microbiome20_C	455	4.96729871	77.46071585	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	2.835	TRUE	16.357	2.2216	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	D10	D	10	USA:CA:San Diego	33	years	UBERON:mouth	20.5	UBERON:mouth	UBERON:mouth	human	185	cm	adult	Homo sapiens	9606	70	kg	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	human	human throat	human throat A	human.A	oral.throat.A.3	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	24409	461724
90990.12201.oral.throat.A.3.2.microbiome20.C	12201.oral.throat.A.3.2.microbiome20.C	oral.throat.A.3.2.microbiome20.C	84	2.390386081	10.12165445	oral_throat_A_3_2_microbiome20_C	511	5.201538977	87.83682827	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	2.388	TRUE	12.26	2.5792	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	E10	E	10	USA:CA:San Diego	33	years	UBERON:mouth	20.5	UBERON:mouth	UBERON:mouth	human	185	cm	adult	Homo sapiens	9606	70	kg	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.A	oral.throat.A.3	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	22228	519046
90990.12201.oral.throat.Q.2.2.qiagen.C	12201.oral.throat.Q.2.2.qiagen.C	oral.throat.Q.2.2.qiagen.C	68	3.254760141	9.336033658	oral_throat_Q_2_2_qiagen_C	494	4.935041221	87.4094317	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	1.172	TRUE	10.853	0.0992	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	C11	C	11	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.Q	oral.throat.Q.2	human oral metagenome	female	95% ethanol	CDC PE	447426	Knight sample set for testing	28343	63836
90990.12201.skin.throat.fresh.A.1.2.qiagen.C	12201.skin.throat.fresh.A.1.2.qiagen.C	skin.throat.fresh.A.1.2.qiagen.C	138	4.050485189	15.36964453	skin_throat_fresh_A_1_2_qiagen_C	393	5.023938427	73.04869832	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/14/20	NA	not collected	1.454	TRUE	11.077	0.164	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	PowerSoil	PS	PowerSoil	standard	Qiagen	fresh	E12	E	12	USA:CA:San Diego	33	years	UBERON:mouth	20.5	UBERON:mouth	UBERON:mouth	human	185	cm	adult	Homo sapiens	9606	70	kg	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.A	skin.throat.fresh.A.1	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	22237	205019
90990.12201.oral.throat.A.1.2.qiagen.C	12201.oral.throat.A.1.2.qiagen.C	oral.throat.A.1.2.qiagen.C	88	3.441028295	10.13615111	oral_throat_A_1_2_qiagen_C	444	4.910013572	77.20591502	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	1.812	TRUE	4.905	0.124	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	D10	D	10	USA:CA:San Diego	33	years	UBERON:mouth	20.5	UBERON:mouth	UBERON:mouth	human	185	cm	adult	Homo sapiens	9606	70	kg	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.A	oral.throat.A.2	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	26972	205542
90990.12201.oral.throat.R.2.qiagen.C	12201.oral.throat.R.2.qiagen.C	oral.throat.R.2.qiagen.C	84	3.924220294	12.36175287	oral_throat_R_2_qiagen_C	NA	NA	NA	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	0.263	TRUE	4.704	0.0792	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	B12	B	12	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.R	oral.throat.R.2	human oral metagenome	female	95% ethanol	CDC PE	447426	Knight sample set for testing	14490	18521
90990.12201.oral.throat.T.2.qiagen.C	12201.oral.throat.T.2.qiagen.C	oral.throat.T.2.qiagen.C	149	3.963860592	17.32495775	oral_throat_T_2_qiagen_C	373	5.069316983	68.37878277	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	3.171	TRUE	26.02	0.128	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	H11	H	11	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.T	oral.throat.T.2	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	22401	71178
90990.12201.oral.throat.P.2.qiagen.C	12201.oral.throat.P.2.qiagen.C	oral.throat.P.2.qiagen.C	80	2.74974674	10.00545774	oral_throat_P_2_qiagen_C	347	4.281667263	65.48522453	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	0.872	TRUE	11.301	0.1384	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	F11	F	11	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.P	oral.throat.P.2	human oral metagenome	female	95% ethanol	CDC PE	447426	Knight sample set for testing	18216	196433
90990.12201.oral.throat.Q.1.2.qiagen.C	12201.oral.throat.Q.1.2.qiagen.C	oral.throat.Q.1.2.qiagen.C	60	2.383919688	7.782247251	oral_throat_Q_1_2_qiagen_C	386	3.887560947	71.11694158	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	0.612	TRUE	6.874	0.1858	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	B11	B	11	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.Q	oral.throat.Q.1	human oral metagenome	female	95% ethanol	CDC PE	447426	Knight sample set for testing	30551	203694
90990.12201.oral.throat.A.2.2.qiagen.C	12201.oral.throat.A.2.2.qiagen.C	oral.throat.A.2.2.qiagen.C	112	3.658830764	12.30725363	oral_throat_A_2_2_qiagen_C	504	5.4732731	84.27177621	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	1.063	TRUE	4.806	0.0936	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	E10	E	10	USA:CA:San Diego	33	years	UBERON:mouth	20.5	UBERON:mouth	UBERON:mouth	human	185	cm	adult	Homo sapiens	9606	70	kg	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.A	oral.throat.A.2	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	22069	553194
90990.12201.oral.throat.O.2.qiagen.C	12201.oral.throat.O.2.qiagen.C	oral.throat.O.2.qiagen.C	95	3.801019613	11.31050176	oral_throat_O_2_qiagen_C	NA	NA	NA	20 min. at 30 Hz	COVID-19	high	High biomass	Medium biomass	5/13/20	NA	not collected	0.975	TRUE	9.698	0.0988	193	Host-associated	Animal-associated	Animal secretion	urban biome	human-associated habitat	saliva	human-oral	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	D11	D	11	USA:CA:San Diego	not collected	not collected	UBERON:mouth	not collected	UBERON:mouth	UBERON:mouth	human	not collected	not collected	adult	Homo sapiens	9606	not collected	not collected	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	FALSE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	human	human throat	human throat A	human.O	oral.throat.O.2	human oral metagenome	male	95% ethanol	CDC PE	447426	Knight sample set for testing	20160	33753
